Year,Oil,Flaring,Cement,Coal,Gas,Other
1900,67531982,,1386040,1873154593,11541600,
1901,74984576,,1655967,1928919376,12860640,
1902,81033410,,2144731,1973071980,13696032,
1903,85776424,,2532765,2155776499,14527760,
1904,96314804,,2731694,2168547606,15165234,
1905,97197654,,3490592,2313287021,17169504,
1906,98098508,,4469621,2432620080,19027152,
1907,119635691,,4601068,2743718951,19877139,
1908,128979404,,4795117,2625837624,19675680,
1909,134583740,,6023783,2726523159,23522878,
1910,144080377,,7040030,2856120390,24915200,
1911,152777383,,7213877,2901555556,25717653,
1912,156996989,,7582929,3040507710,28315392,
1913,181806871,,8464930,3278396362,29597792,
1914,185821871,,8061695,2949975797,30136463,
1915,197358982,,7867182,2893296725,31865750,
1916,214904626,,8389796,3116991256,38376810,
1917,239051638,,8457468,3245537421,40509124,
1918,244706446,,6479221,3195729967,36519090,
1919,273069200,,7354303,2701549916,37948035,
1920,350311396,,9014987,3112382744,41685394,
1921,384355732,,8885636,2654888711,34992685,
1922,426464263,,10384405,2757275447,40107318,
1923,473659323,,12430791,3131989020,52526335,
1924,470958015,,13499926,3138817706,59710715,
1925,492937623,,14341240,3138599160,63925756,
1926,490840087,,14651099,3067560421,69148128,
1927,537905205,,15355300,3349092573,76020622,
1928,549652525,,35672533,3291699973,82628111,
1929,602804352,,36937798,3509546700,102900909,
1930,577519960,,35624846,3202021710,104232387,
1931,560692247,,31021152,2818368047,92901010,
1932,537030872,,24851480,2507727917,88234871,
1933,586882280,,23991162,2623163002,90935091,
1934,621154342,,28718289,2864469469,101973286,
1935,669590721,,32330597,2981135048,111400171,
1936,730034688,,39090561,3273863828,125565289,
1937,822446234,,41147697,3452448255,140612633,
1938,797974864,,38919759,3221119686,135531579,
1939,831234034,,36048654,3427143687,141366142,
1940,873503541,,31650653,3788360316,153569754,
1941,881716099,,43462922,3876834236,153463212,
1942,836422456,,38218755,3894968944,166048943,
1943,888703153,,34653241,3912608508,182899895,
1944,1019124432,,22524368,3861790200,197600826,
1945,1008967710,,22933991,2992181146,216746043,
1946,1140637863,,36312280,3228827851,223895024,
1947,1222222581,,43236507,3612469218,247965903,
1948,1340541009,,51765550,3723982980,280213896,
1949,1337845094,,58354639,3542528132,300548536,
1950,1649524808,73624416,66938754,3854979568,353282938,
1951,1743311181,79875260,75576268,4058694817,416327451,
1952,1838890949,85363804,81133987,4007545141,447229206,
1953,1953704968,81348030,90025950,4042020514,474685529,
1954,2070390970,77612011,97786901,4037623401,501530679,
1955,2314012816,96835843,108186483,4370549522,547453521,
1956,2510503843,108173769,117213288,4594486984,587532533,
1957,2623951362,106385515,123182832,4678644078,647175840,
1958,2729314161,95114847,130395886,4750658604,706629603,
1959,2907740543,91693532,145957417,4943832093,759285074,
1960,3122521995,89140213,156941007,5130917207,835373814,
1961,3306202438,86219069,165444527,4915324703,882812472,
1962,3553817865,85930795,177697178,4901275630,968787669,
1963,3807944097,90506188,187210414,5101000433,1049369703,
1964,4100508898,112791867,205788296,5195153818,1155366123,
1965,4409775036,130442812,215178177,5280001247,1233892106,
1966,4748619903,144566086,230267882,5327529039,1342854975,
1967,5062785746,190782930,238147151,5243604297,1436176431,
1968,5513229561,203800258,254904571,5301228682,1562832762,
1969,5965537708,244034831,268359255,5501877814,1712032482,
1970,6792354640,277744916,282282415,5680359830,1794120757,
1971,7186471187,321127729,300043880,5681463335,1936725140,
1972,7748088647,346570192,316962122,5675726119,2055258100,
1973,8289090450,402006186,335998715,5837205117,2136412572,
1974,8169222654,391233801,336716641,5847757813,2180940616,
1975,8063996156,336444258,333850031,5974763478,2193918611,
1976,8482571344,395348078,356317960,6242260822,2323262047,
1977,8793730433,381321006,371938802,6373923929,2367021917,
1978,9115410681,390089456,394790737,6568674174,2489866889,
1979,9256644357,360196107,401223089,6816021690,2630152897,
1980,8923603635,316485283,403946860,7017390392,2708025616,
1981,8487478746,237302361,403665571,6973883651,2739036246,
1982,8283154152,235796482,401621546,7099887268,2680505522,
1983,8214480412,213144874,411161130,7312339734,2725148408,
1984,8253643534,187118779,418837420,7624128249,2942506069,
1985,8270208248,181886017,422730677,8177459774,3064539505,
1986,8517086148,170182688,439965834,8268885202,3005574829,
1987,8617419628,163551243,458358961,8567808309,3255565822,
1988,8920266235,186184507,485930355,8858932732,3414656922,
1989,9069718662,151453463,497250473,8882260975,3592678208,
1990,9218815720,247907829,499195960,8720617124,3860862153,150213133
1991,9676619152,262647570,512831149,8639866122,3939117852,138447485
1992,9160068321,232040135,534533194,8423191625,3966599563,128518488
1993,9183988736,228385626,555313637,8522452431,4074315374,118147410
1994,9221055915,231587287,591946896,8572821947,4112048775,114326903
1995,9314525616,230257310,625865982,8822304471,4220641985,118563710
1996,9623161456,233118060,639118792,9035079642,4406062954,114302739
1997,9771633397,238107122,658366689,8986534450,4422389632,114116860
1998,9871746194,226831920,654506611,8749415356,4495892543,113726185
1999,10104990298,219233841,684408591,8679499047,4628797326,114121652
2000,10280736129,264500723,715796217,8999103581,4745741622,113164035
2001,10367719521,266259850,747540494,9048280289,4791209636,111192731
2002,10358791533,276993277,787886964,9437303958,4936982045,113228506
2003,10621092846,277337270,846510172,10210176145,5106119029,114948520
2004,10992582380,301040745,905652563,10877644846,5274069227,119461490
2005,11071852476,321168034,957464451,11537730486,5399904191,122769700
2006,11159281470,322801911,1045562091,12194676305,5524520960,127711254
2007,11221838282,337991468,1120178647,12774790393,5710414541,128648974
2008,11199617340,351570110,1136901890,13260655669,5873324221,123964668
2009,10989511680,342766367,1168218851,13096209196,5764761906,102732427
2010,11288151270,350360904,1242448277,13930110309,6206111296,114729011
2011,11294422961,343431906,1333890868,14748065579,6372084290,117686968
2012,11523496385,348955896,1371644397,14901934979,6497148910,116827573
2013,11629568938,349063334,1427392588,14921136417,6540736381,119365887
2014,11744752045,360754295,1483542540,14944735945,6590455787,120627494
2015,11914683326,362053077,1428375337,14624451360,6762248094,117635368
2016,11969329059,371409053,1463584999,14364382007,6939907505,111799798
2017,12174822437,403984248,1476475049,14413360970,7114554348,113151838
2018,12253084745,429495561,1514612015,14618299328,7489099056,115121000
2019,12355129197,429495561,1563760568,14362167417,7615713831,115121000